,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
AIG,0.00024959389011054494,0.025041800819066054,0.0007873256664983,0.5181079083518108,-71.01851882376361,2,1.2198772067743135,-0.0002619145440416944,0.005213134311152734,-0.03613713267918708,-0.05983483859608552,0.0004853325762029164,2.512448473734829,-0.008898473666149992
AIZ,0.0003909227382194519,0.01890359576322794,0.0008917726272359,0.5358462675535847,-45.671084910043035,233,0.8392941481084955,3.8997123814936635e-05,0.014382190699438021,-0.02639493703910226,-0.044131360485953036,0.0003710572634392182,0.9141088451573426,-0.0018587651547390732
AJG,0.0010429465025384385,0.01589367925733442,0.0017289434648017,0.5580192165558019,-37.48626275700979,165,0.8620406913542505,0.000681483002965318,0.05812995647716182,-0.02355159904890672,-0.03718425530318917,0.00037788722679285265,0.2422070928088781,0.0568609647537667
AKAM,0.0003956243215848807,0.01896983435768288,0.0012812660614134,0.5380635624538064,-41.97014348543389,295,0.7647965265633591,7.493641006800435e-05,0.0145798164244511,-0.02776455486962556,-0.044619030667945744,0.0003486883250212384,0.9095866859659676,-0.0014606530306218145
ALB,0.0007989881884582326,0.02994408318741957,0.0011563188639491,0.5240206947524021,-62.968350195710485,727,1.2754041746538594,0.0002641966629951946,0.022707009099422935,-0.046145246555229655,-0.07080787136841,0.0005020053141947213,1.1222295033739111,0.01533703639344148
ALGN,0.0007823100549334321,0.03427958402776353,0.0004590156299069,0.5062823355506282,-76.08230957933029,522,1.541832475186783,0.00013580210255247495,0.019348613896499656,-0.046862830213594255,-0.07603627324838758,0.0005820040862872925,1.5020769242400838,0.012884471206567646
ALK,4.977860960982833e-05,0.029080323597583474,0.0,0.49963045084996305,-68.50688379251757,5,1.2639363125627856,-0.00048020431040611707,-0.0023819889488281643,-0.0405370233503322,-0.06444501180493013,0.0004985619304251376,16.988526340301824,-0.015531501570200182
ALL,0.00026972791635404195,0.017556515733457182,0.0008045685296182,0.5336289726533628,-41.68192758229971,363,0.8383909018546067,-8.18189565882878e-05,0.008582585496692477,-0.024613364091446037,-0.04343623228189857,0.00037078605129297183,1.142748770188654,-0.01101212858188815
ALLE,0.0004185787147424582,0.01889897687919824,0.0010142044189571,0.524759793052476,-43.41252560982972,307,1.016052173102393,-7.463556720965531e-06,0.01584906408476152,-0.029345546831327875,-0.043965494004762296,0.0004241312984750436,0.8532954842202831,-5.644323803710897e-05
AMAT,0.0010830688991740772,0.028934569353931527,0.0010890707302706,0.5225424981522543,-55.443111579575024,425,1.600050840397556,0.00041214932186686216,0.03331728453720602,-0.04636668909246202,-0.0646672084593774,0.0005994849534503631,0.7729972713055555,0.03183069262745935
