,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
BIIB,0.00011064784566970115,0.026059258045064003,0.00111492252149565,0.5258964143426295,-43.5401051780338,122,0.9043092661994118,-0.00025569398964028187,-1.1469763299723634,-0.02735060867509874,-0.05159510068073214,0.003237063849327631,6.137353382246535,-0.011957416577238103
BIO,0.0010086771878864873,0.017981857957558293,0.0009167348203936,0.5199203187250996,-32.51571049442576,228,1.056894201969399,0.0005805221571355691,-1.6122540218335795,-0.02372674691926753,-0.033797747250172275,-0.001278671028331048,0.32056560759872244,0.0402905389706493
BK,-2.8402436703178844e-05,0.014454723079801963,0.00068352384053675,0.5219123505976095,-29.904138914013302,0,0.9019037934655854,-0.0003937697986454371,-2.0774111182152497,-0.02477264509170285,-0.035998754704836815,0.0033082535579746983,-7.356376549564664,-0.036951284645253664
BKNG,0.00040487382536051906,0.015768292354390978,0.00211463973585555,0.5637450199203188,-26.710610553504477,24,1.0047820840386799,-2.1702319234745806e-06,-1.876875790319689,-0.02403653989513234,-0.037764285852060736,0.0002635815361235992,0.614114887649615,-1.847230671515243e-05
BKR,-0.00023805020792371415,0.020829775719831474,0.0003823266421355,0.5079681274900398,-44.94623891879159,2,1.023692577964288,-0.000652755034935791,-1.4516743057936468,-0.037035790964454945,-0.0503263702242193,-0.0002960725119165626,-1.8226388471692592,-0.03484953053483456
BLK,8.720242991875463e-05,0.014936889964014217,0.0005733279509918001,0.5219123505976095,-39.01999409051766,1,1.2615787543216312,-0.00042387170535871624,-2.0026121663978786,-0.02585332849808418,-0.03658385141728198,-0.007336288494371464,2.5585374398963188,-0.03385290821228425
BMY,0.00022805330833428219,0.01637728848414175,0.0007356520765080001,0.5199203187250996,-37.996523084446885,11,0.8162819725254999,-0.00010262807150187561,-1.8178800917193412,-0.02333072338272078,-0.04101868739441062,0.00584222220407116,1.1761091301497353,-0.012161941839196992
BR,0.0007194111404263141,0.014549499249919691,0.00114319153217775,0.5338645418326693,-33.35027584814673,33,0.931514331965158,0.0003420483479119021,-2.012480866634314,-0.020612482910937063,-0.033800566420990434,0.002431932833559674,0.2942516685215217,0.027036424614774276
BRO,0.0009233792875576946,0.01052177534099052,0.0015196802167301501,0.5517928286852589,-16.815572533838864,150,0.7141396714916675,0.0006340764486943411,-2.763470970451744,-0.01725049778382712,-0.024538281266553788,0.00886511269411333,0.11989412998324259,0.06074198161307529
BSX,0.0012965506017574787,0.01659380270162881,0.0017112461860824,0.5378486055776892,-18.724388324446895,87,1.1613186141227327,0.000826092531295163,-1.7297692345965436,-0.026328209220632965,-0.040150614946015656,-0.004369100353219663,0.21237450179525572,0.07090756146805165
BWA,-0.00015833121627600722,0.01971056579621011,-0.0002308288987496,0.49203187250996017,-46.67587766856652,1,1.287249838904289,-0.000679804882545716,-1.5300591331617057,-0.03402774264383824,-0.043619541187161576,-0.00809602150085896,-2.453757465801773,-0.03572698826891112
BXP,0.00019636095969988873,0.011693112468149233,0.00062113973959705,0.5219123505976095,-17.655495277757048,144,0.633265074874105,-6.017902992345805e-05,-2.54882001019677,-0.019077225741835957,-0.026878755222534172,0.011258587743400196,0.696313968936385,-0.019631070701814197
C,0.0002600031691370152,0.015304729527528838,0.00057725909880195,0.5139442231075697,-38.486516989026,3,1.201397477112688,-0.00022669112135938776,-1.9431899647340531,-0.02423699483140001,-0.035584523409448655,-0.0055552300228842375,0.900891887926863,-0.013839557535699659
CAG,4.33350534648891e-05,0.021148878413494197,0.0009646825536351,0.5318725099601593,-46.45608341863482,96,0.6471663376931396,-0.0002188364322899245,-1.4164658929345888,-0.02685450496073747,-0.049736441652488285,0.010847181354960628,10.321322402686125,-0.01764132232966598
CAH,-0.00023479165609478268,0.020083658812939612,0.00084149836519535,0.5199203187250996,-44.516815345030615,2,0.9009644802026828,-0.0005997784958445514,-1.5054424065706067,-0.03266442499161785,-0.04936848939697976,0.0033360524336692836,-1.7179202959058217,-0.035127937193800696
