,emb_model,DB,HC,Sil,hom,AVG_returns,Risk,Sharpe,Drawdown,Recovery,clust_model,category
11,table_finance_features,1.1430816298116684,123.41153179281788,0.1978249450985301,0.2044387210742105,0.1651772006288179,0.4303697610441597,0.0214666147932399,43.61154785376995,148.0,Agg,interpretable
12,takens_mult_BC_0,1.2884523858634105,169.0813880051539,0.2062012235624657,0.0801535663705113,0.41892921650680215,0.37681613600279307,0.0625199606534083,34.0453202373016,72.0,KMeans,topological
13,takens_mult_BC_1,0.5017519276899072,4.9275001776108365,0.2221717965507535,0.0305824550849959,0.35068034966751904,0.3626825504287505,0.0546758245576421,40.24795694024181,132.0,KMeans,topological
14,takens_mult_BC_2,0.4576068049246412,10.709993906571857,0.2402112708893106,0.0277789765167741,0.34081615218266603,0.33959461817729664,0.0563360846565384,36.80144425393769,76.0,KMeans,topological
15,takens_mult_PI_0_sigma=0.0005,0.4234990614267381,14.309939962439032,0.3776414530923218,0.0288685011591656,0.10299485802476793,0.3277375083904681,0.0150838236230722,43.47674543328712,219.0,Agg,topological
16,takens_mult_PI_1_sigma=0.0005,0.3111765924956625,9.058264735670578,0.4709168080856856,0.0293976496366876,0.016286181050621407,0.3546253805636357,-0.0027555908932155,47.480628555816665,492.0,Agg,topological
17,takens_mult_PI_2_sigma=0.0005,0.3502005731199591,8.322796331469247,0.3211040010868013,0.0272232434634482,0.508434572948711,0.31975383925112544,0.0859432005955612,32.47369230276258,55.0,KMeans,topological
18,takens_mult_PL_1,2.1329983103226526,30.654585597875865,0.0630865334155518,0.0806392934590805,0.07752604852630207,0.43931049730692484,0.0077154948085818,49.99206388212675,179.0,Agg,topological
19,takens_mult_PL_2,0.3801497209016291,8.073443434487645,0.3242791477338267,0.0284277357439826,0.26101565112576774,0.37510767817979307,0.0396395994979824,39.23197740303269,180.0,Agg,topological
20,takens_one_BC_0,1.2067203976808032,219.95398373205128,0.243883600406218,0.0844461815926259,0.2131728445474388,0.3224778380628104,0.0365819027880947,35.77464937068763,121.0,KMeans,topological
21,takens_one_BC_1,2.2720784546570374,31.87356605943802,0.062858665411303,0.0637282568264463,0.46483169026306426,0.37715343299374826,0.0686847964889567,33.89996200865165,82.0,KMeans,topological
22,takens_one_BC_2,0.4537903164139317,6.411141891743094,0.2737466325205757,0.0288995991825644,0.4047309318713459,0.3561681488522328,0.0635898041980555,35.51454595134156,115.0,KMeans,topological
23,takens_one_PI_0_sigma=0.0005,2.3433535638639365,57.31412193020583,0.0791974350423138,0.1310687711677083,0.26943420532009776,0.3204252917638266,0.0469810393783828,36.17046503662045,81.0,KMeans,topological
24,takens_one_PI_1_sigma=0.0005,0.3198027843275507,10.38869713096562,0.4326090444709473,0.0273119663339312,0.3936506314206345,0.3336600091210753,0.0656024252432535,37.23786508064618,100.0,KMeans,topological
25,takens_one_PI_2_sigma=0.0005,0.4678406410408806,6.003347850508257,0.2620369174827393,0.0254240172121414,0.39450805600376126,0.324655029910788,0.0673344099999116,32.822205845563225,82.0,KMeans,topological
26,takens_one_PL_1,0.4346407115399104,5.298668180371963,0.2680900739995295,0.0249849901907244,0.25483998024459154,0.4472284607699333,0.0332750704030115,41.85020910392553,154.0,Agg,topological
27,takens_one_PL_2,0.3118020697946976,10.268861073191376,0.3797362743455071,0.0230114273679266,0.6060910404376376,0.3550213975260812,0.0913230959315665,24.77528188174816,57.0,KMeans,topological
28,tnse,1.054698196098924,124.1210111516164,0.2306662827276573,0.3747499300395648,0.1903680899721305,0.36780821971523525,0.0288289420740818,46.28676766292698,214.0,KMeans,dim_reduction
29,transformer_embds1,1.3409037621186228,152.90705258846958,0.2764340987492893,0.0501799370863344,0.352283657923792,0.35577922886928404,0.0558405421041802,38.912704236135696,70.0,KMeans,transformers
30,transformer_embds2,2.8661205272095804,21.733385956196532,0.0495268735674722,0.1261021215833359,0.3564129387913144,0.4110022299095597,0.0498556875154587,41.246102217303424,288.0,Agg,transformers
31,transformer_embds3,1.2020745065006146,129.11878449108988,0.2237013448881863,0.0545238908853776,0.4204215935085547,0.37257675333368345,0.0633422317066472,31.76510991357766,180.0,KMeans,transformers
32,transformer_embds_sum_23,1.1427380812476058,130.819923190249,0.2168554416993809,0.0516491207139292,0.33091688831072696,0.3594219377903778,0.0521082199729169,36.29770886198113,180.0,Agg,transformers
33,transformer_embds_sum_all,2.379674207875785,12.205344226411205,0.0500826688322205,0.3321024578667322,0.13876933311492823,0.3876764642603183,0.0191095644994328,42.96206440989118,206.0,KMeans,transformers
34,ts2vec,1.8198993542742727,85.71432825827341,0.107950003223546,0.1501079090777712,0.4959146431193451,0.4110399230538557,0.0675927164494756,43.95566545637221,75.0,KMeans,time_embedding
35,tsfresh,0.4629379380082469,5.830445473254899,0.2013984996422554,0.0244447435639739,0.28173898838407996,0.4309284105660631,0.0380294773373717,41.064541389189856,317.0,Agg,interpretable
36,umap,1.1738244851073891,24.75619087990593,-0.2433323748523578,0.223404141537369,0.20899005907177348,0.3149746420068482,0.0365604283427006,37.99749493818744,133.0,KMeans,dim_reduction
