,AVG_returns,Risk,Beta,Alpha,Sharpe,VaR,Drawdown,Recovery,clust_model,emb_model
port,0.0007095665332489644,0.01687638049675993,0.5007822661614602,0.0007367596782804809,0.03509418500775228,-0.027846027819653885,-23.929050415585184,121.0,Agg,signal2vec_embds
port,0.0004420957691377574,0.019732682440341515,0.47860924595946164,0.00046289106027696484,0.016459599767302956,-0.032558926026563496,-30.181038773099612,122.0,KMeans,autoencoder_mlp
port,0.0010747421127119475,0.02258432070984286,0.36898950512769957,0.0010639074734598423,0.04239394273480277,-0.037264129171240716,-29.93221653269229,122.0,Agg,autoencoder_mlp
port,0.00101548678592378,0.018023735950194724,0.4965770215621587,0.0010414665400738264,0.049833346125980456,-0.029739164317821292,-26.977136808001625,119.0,KMeans,takens_mult_PL_1
port,0.0006715818352848135,0.01918760005383675,0.4561609508822242,0.0006858998440904822,0.028887308464589926,-0.03165954008883064,-27.793996107361053,127.0,Agg,takens_mult_PL_1
port,0.001278078433035659,0.017993270084102963,0.4603477282216182,0.0012936045041374445,0.06451160427068525,-0.029688895638769888,-21.229908131502018,87.0,KMeans,tsfresh
port,0.0015881809992046242,0.017422045653370556,0.4680961331173667,0.001605942812752402,0.0844262100234832,-0.028746375328061416,-16.850100948433322,73.0,Agg,tsfresh
port,0.0013106552346242733,0.019046356918194233,0.4347002900230522,0.0013187809353294425,0.06265510648127479,-0.031426488915020485,-23.1139738943441,48.0,KMeans,takens_one_BC_0
port,0.0008918275823886721,0.019554977064578587,0.4389681842202933,0.0009011847510333925,0.03960750585369782,-0.03226571215655467,-28.795022450986473,122.0,Agg,takens_one_BC_0
port,0.00019422283226139253,0.016211787283183666,0.5066861903901986,0.00022311950907444433,0.004744641481123489,-0.026749449017253048,-26.691439173921705,215.0,KMeans,pca
port,0.00021941647677368797,0.017709802876015618,0.4837169440821561,0.00024168555479521083,0.005765889301768018,-0.02922117474542577,-27.749414154122732,118.0,Agg,pca
port,0.0001593663238433252,0.011505719904383715,0.7051286592808733,0.00024552204387310407,0.0036557999289423154,-0.018984437842233127,-22.459579190498957,122.0,KMeans,takens_one_PI_0_sigma=0.0005
port,9.324041504257063e-05,0.013011678760314088,0.720340132307711,0.00018378528824254924,-0.0018493615800961832,-0.021469269954518245,-21.252570603397825,122.0,Agg,takens_one_PI_0_sigma=0.0005
port,0.0019370990776373914,0.022841718305753534,0.36711886616729095,0.0019257246799471066,0.07966981027625052,-0.03768883520449333,-26.640545388615532,80.0,KMeans,autoencoder_conv
port,0.001313036141560392,0.022653485622985806,0.36553263794790586,0.0013012040499567371,0.052783595762087465,-0.03737825127792658,-24.00467384757591,83.0,Agg,autoencoder_conv
port,0.0009704032201958155,0.013890805025278547,0.6628517926703082,0.0010443602765733307,0.0614146915753905,-0.0229198282917096,-19.63588920899333,65.0,KMeans,takens_mult_BC_0
port,0.0011379540484932056,0.015271990609170649,0.6092616304832403,0.0011964480770732223,0.06683151926808206,-0.02519878450513157,-24.25711487792357,122.0,Agg,takens_mult_BC_0
port,0.00043780171774898175,0.011434243984329778,0.68216953146332,0.0005173327585995881,0.028029662857794863,-0.018866502574144132,-17.43061068119658,131.0,KMeans,takens_one_PI_2_sigma=0.0005
port,0.0003784647957508152,0.011863038275418928,0.6712806050560443,0.0004548539209055356,0.022014687624966257,-0.019574013154441232,-17.373282540646006,162.0,Agg,takens_one_PI_2_sigma=0.0005
port,0.0011238198379367318,0.011902651074733657,0.6679053401919316,0.0011992350564584491,0.08456234815106561,-0.01963937427331053,-16.33327516987547,66.0,KMeans,takens_one_PI_1_sigma=0.0005
port,0.0007447334283590641,0.01035003432046557,0.7676140282218957,0.0008489188194597981,0.06062102743794493,-0.01707755662876819,-15.83478509780064,60.0,Agg,takens_one_PI_1_sigma=0.0005
port,0.0008030725934538824,0.01128852969352805,0.7368602887011728,0.0008983842303117021,0.060749176220229906,-0.01862607399432128,-14.422739978444332,71.0,KMeans,takens_mult_PI_2_sigma=0.0005
port,0.000911718541000313,0.011501403826255358,0.7659291352884328,0.0010154177692457268,0.06907111854923109,-0.01897731631332134,-12.371977229120679,62.0,Agg,takens_mult_PI_2_sigma=0.0005
port,0.001278732812003158,0.01640567169196104,0.4903668630801994,0.0013029206728408052,0.07079436428913922,-0.027069358291735717,-23.202606613709108,108.0,KMeans,umap
port,0.0010747487625782132,0.018015764870692005,0.44378906582728134,0.0010854969594127175,0.05314484595107772,-0.029726012036641807,-28.113173608891195,121.0,Agg,umap
port,0.00019422283226139253,0.016211787283183666,0.5066861903901986,0.00022311950907444433,0.004744641481123489,-0.026749449017253048,-26.691439173921705,215.0,KMeans,fastica
port,0.00021941647677368797,0.017709802876015618,0.4837169440821561,0.00024168555479521083,0.005765889301768018,-0.02922117474542577,-27.749414154122732,118.0,Agg,fastica
port,0.0007785735366728641,0.014822750266382814,0.5975142082641979,0.0008336779372146615,0.04461181703493573,-0.02445753793953164,-18.14036752139021,116.0,KMeans,transformer_embds1
port,0.0008562995074561417,0.015130790587593753,0.6053677420976615,0.0009136699845877342,0.048840527488868975,-0.02496580446952969,-22.390418513318224,150.0,Agg,transformer_embds1
port,0.0007564800642406423,0.018098279454571566,0.46643727470713386,0.0007737632269938955,0.035316967671462245,-0.029862161100043083,-19.875105590170673,108.0,KMeans,takens_mult_BC_2
port,0.0010371832101442498,0.01375034656895598,0.667038375045322,0.0011123482725624142,0.06689864082310504,-0.022688071838777364,-16.21327853052843,58.0,Agg,takens_mult_BC_2
port,0.0003943847032827844,0.01773221056215971,0.5301208821375836,0.0004300432795775114,0.015625857164115926,-0.029258147427563518,-30.900951365123873,182.0,KMeans,takens_one_PL_1
port,0.00033215690391633356,0.017132852697377115,0.5499288145347634,0.0003735309062663016,0.012540421252485093,-0.028269206950672237,-22.168309209619398,121.0,Agg,takens_one_PL_1
port,0.0010155739693481218,0.01919636891622979,0.43272070485816067,0.0010231284760284366,0.04679375872768417,-0.031674008711779146,-27.62951114881075,122.0,KMeans,autoencoder_lstm
port,0.001606563855106605,0.021145880629046203,0.3983270793589459,0.001604194346530264,0.07042790827195405,-0.034890703037926234,-33.91733517965487,121.0,Agg,autoencoder_lstm
port,0.0006570779515263408,0.016984726145816097,0.5025166897485374,0.0006847715511010996,0.03177997885028344,-0.02802479814059656,-25.746967565193557,98.0,KMeans,transformer_embds_sum_all
port,0.0008192621640152815,0.01513112030247459,0.5802555561191409,0.0008693867136483467,0.04639170373035974,-0.024966348499083073,-20.50531210974338,116.0,Agg,transformer_embds_sum_all
port,0.0009576090664003788,0.01418175359025391,0.6040343012458467,0.001014594789463007,0.05925257036925325,-0.02339989342391895,-16.216787442340408,95.0,KMeans,tnse
port,0.0003893692856394398,0.01245909916396929,0.7316934664534085,0.00048319007580485684,0.02183669687707298,-0.02055751362054933,-15.605608618857381,77.0,Agg,tnse
port,0.0003891425546228025,0.01864740931745751,0.5086538494606521,0.0004186069842781803,0.014577834173128853,-0.030768225373804886,-32.50420634344571,182.0,KMeans,takens_mult_BC_1
port,0.001413416872606406,0.019736884674582927,0.45774455285480375,0.001428191817542193,0.06566959173861342,-0.03256585971306183,-22.174824663381386,85.0,Agg,takens_mult_BC_1
port,0.0004208714905174306,0.01819940783013921,0.5313642186778131,0.00045688882197725863,0.016680090886268113,-0.030029022919729698,-28.02651597060487,122.0,MSTcorr,MSTcorr
port,0.0005988557685246756,0.016804364114621557,0.5627249857618559,0.0006439220073469905,0.028656368750735756,-0.027727200789125567,-24.85815414554532,154.0,KShape,KShape
port,0.00042723628076925046,0.014103656629359381,0.6608250303781834,0.0005006085305258666,0.021975334133533794,-0.02327103343844298,-26.843184620203044,122.0,TimeSeriesKMeans,TimeSeriesKMeans
port,-0.00017123857016763133,0.011723526843767436,1.0000000000000002,2.710505431213761e-20,-0.02461224236079416,-0.019343819292216267,-25.08150280706157,179.0,sp500,sp500
port,0.0012049824926907082,0.01807204237292216,0.42127534545852796,0.0012092345292286282,0.06018571428794116,-0.02981886991532156,-20.17680782675405,88.0,sectors,sectors
