,AVG_returns,Risk,Beta,Alpha,Sharpe,VaR,Drawdown,Recovery,clust_model,emb_model
port,0.0006964628654097382,0.023986287785187854,0.5267995598557829,0.0004447708448196496,0.024145426618825728,-0.039577374845559954,-57.999456520356816,240.0,Agg,tsfresh
port,0.0007116881938630962,0.02007366105115466,0.6396411829530443,0.0004312099027154723,0.02961016819572419,-0.03312154073440519,-39.567949444964,338.0,KMeans,pca
port,0.0006570286677302737,0.022587762459887178,0.5532670659001968,0.0003985846989754462,0.023894573659268083,-0.037269808058813844,-45.289962104022955,295.0,Agg,pca
port,0.0011255678897187096,0.020257098733477315,0.6960380029649871,0.0008307025836125265,0.049773375207871284,-0.03342421291023757,-35.0523412313341,201.0,KMeans,topo_features
port,0.0007006676942225789,0.019037885899681944,0.7317653791519575,0.0003966882165102101,0.030642266870497203,-0.03141251173447521,-37.08380926095073,90.0,Agg,topo_features
port,0.0009108880872940078,0.022884528938913257,0.5818054875424845,0.0006451638729690522,0.03467776748116208,-0.03775947274920687,-49.99212154389818,234.0,KMeans,autoencoder_conv
port,0.000973752438355631,0.021058943149793747,0.6084270670228297,0.0007012369712238134,0.040669121827681565,-0.03474725619715968,-41.2558622785002,198.0,Agg,autoencoder_conv
port,0.0011960685180347145,0.021436829598518867,0.6145861694053347,0.0009219818435530918,0.0503229640018597,-0.03537076883755613,-46.650009255158785,222.0,KMeans,umap
port,0.001178192260878825,0.02121346725764582,0.6194052255673739,0.0009028762292619115,0.050010143752526236,-0.0350022209751156,-45.65911277413511,224.0,Agg,umap
port,0.00039519283166145996,0.021652742801683087,0.5787832033407676,0.00013023961201333024,0.01283389916798025,-0.03572702562277709,-44.03150496758952,397.0,KMeans,fastica
port,0.00041337484586223945,0.02230193119943339,0.5751376087833076,0.0001493516294203174,0.013275582700896883,-0.03679818647906509,-45.835786699540904,240.0,Agg,fastica
port,0.0015045791425513041,0.021474325656894874,0.6327771291405244,0.0012258518941904218,0.0646015828800396,-0.03543263733387654,-38.26134750215766,201.0,KMeans,transformer_embds1
port,0.0013486553452734032,0.020572782836853463,0.6561396835547979,0.0010639682321584953,0.05985343068090662,-0.03394509168080821,-38.036679101865566,201.0,Agg,transformer_embds1
port,0.001566674061101505,0.022745805878618887,0.5836687636256107,0.0013004745188968181,0.06372033398163604,-0.037530579699721164,-40.248259663604514,143.0,KMeans,autoencoder_lstm
port,0.0015489438471930296,0.019626831862482243,0.7142001224474692,0.0012494453244512582,0.07294300697073981,-0.0323842725730957,-33.249379566206535,143.0,Agg,autoencoder_lstm
port,0.0006307366902194449,0.019681887142500847,0.6951488885391518,0.000336098200138379,0.02608657252567486,-0.032475113785126394,-43.18684330754855,202.0,KMeans,transformer_embds_sum_all
port,0.00047959782680860716,0.0247202638682332,0.5407171110923066,0.00022435539295436672,0.014655754279375818,-0.040788435382584774,-50.40320486986646,229.0,Agg,transformer_embds_sum_all
port,0.0013382535469312394,0.021674510640262275,0.6054658911553649,0.0010664934855384531,0.056331137222022015,-0.03576294255643275,-46.1452269763862,129.0,KMeans,tnse
port,0.0008285997669710058,0.020582174840056543,0.6871763207741917,0.0005359951052453032,0.03455883834745438,-0.0339605884860933,-43.658098120416156,155.0,Agg,tnse
port,0.0004573684510478916,0.014514177397873121,0.8385562358457478,0.0001261462732619094,0.023429831942337633,-0.02394839270649065,-28.280808603594345,195.0,KMeans,PersImage_1
port,0.0003042927230234926,0.014452954760186,0.8555853584718567,-3.127364015984154e-05,0.01293777032390276,-0.023847375354306897,-29.52892390372184,210.0,Agg,PersImage_1
port,0.001412827304348648,0.022960304009813352,0.5968191730270628,0.0011432730492943748,0.05642449638125373,-0.03788450161619203,-41.964669448888415,90.0,MSTcorr,MSTcorr
port,0.0009080334072860249,0.01861552315558615,0.762999525980058,0.0005960859956096745,0.042476898814111146,-0.030715613206717146,-34.7786136580396,211.0,KShape,KShape
port,0.0007334848563128194,0.01969275948653191,0.7140693843194903,0.0004340196852990797,0.03128973077134179,-0.032493053152777646,-35.403760641893726,366.0,TimeSeriesKMeans,TimeSeriesKMeans
port,0.0003724070149693814,0.01616472471641418,1.0,0.0,0.01578148131875653,-0.026671795782083396,-33.92496000265331,200.0,sp500,sp500
