,AVG_returns,Risk,Beta,Alpha,Sharpe,VaR,Drawdown,Recovery,clust_model,emb_model
port,0.0016109849318759358,0.009397530953254438,0.4832526747811466,0.001323201906400637,0.15894400619390492,-0.015505926072869823,-10.92177307873714,50.0,Agg,transformer_embds5
port,0.0023356537907139713,0.014357147975796843,0.2738236434845508,0.002121752026442706,0.15451189056623207,-0.02368929416006479,-16.368778363075688,190.0,KMeans,PersLandscape_2_new
port,0.002377096171447368,0.01293346365967007,0.306098386143276,0.002151808694899731,0.17472446028974778,-0.021340215038455613,-10.349085506725341,107.0,Agg,PersLandscape_2_new
port,0.0019974885042274124,0.012510513580007088,0.42668587950547937,0.0017296608123148133,0.15028837772077283,-0.020642347407011694,-10.918229549023762,36.0,KMeans,PersLandscape_2
port,0.001545880773073507,0.012228039242255875,0.37739523600226244,0.0012954415725511905,0.11682797470115976,-0.020176264749722193,-22.124696850939696,298.0,Agg,PersLandscape_2
port,0.00181560442069209,0.012654561865459291,0.2845789924322428,0.0015979084415499187,0.1342046231954631,-0.02088002707800783,-17.651113518247396,179.0,KMeans,tsfresh
port,0.0016850081718612847,0.013816497755872192,0.3281722557226429,0.0014519335928566473,0.11346612475368736,-0.022797221297189117,-21.47413636338956,155.0,Agg,tsfresh
port,0.0007109184709735634,0.010383093241070732,0.4430579760586007,0.0004373151178051675,0.05717128252215321,-0.017132103847766707,-15.372480712750525,176.0,KMeans,pca
port,0.001123261767961487,0.012895795385788035,0.33041696457022685,0.0008893953124931681,0.07800666992868589,-0.021278062386550257,-26.786853353003604,341.0,Agg,pca
port,0.0015785929150178935,0.009556413288677195,0.4875107949240485,0.0012893077325371012,0.1529118882829017,-0.01576808192631737,-13.434225035125358,131.0,KMeans,topo_features
port,0.0011605183261414753,0.01044375810172334,0.33264985336683794,0.0009258641640242709,0.0998888141745531,-0.017232200867843512,-17.088755239972507,158.0,Agg,topo_features
port,0.0014297029458491986,0.011653178575852371,0.3413931459638838,0.0011919643714127163,0.11262156702329211,-0.019227744650156413,-26.17267719217734,356.0,KMeans,autoencoder_conv
port,0.0018234180521779586,0.011860577986670243,0.30770404022519093,0.0015975641415123063,0.14384748705003766,-0.0195699536780059,-15.287875229469039,156.0,Agg,autoencoder_conv
port,0.0011220936474072446,0.01109633231934032,0.4368639283118758,0.0008506753975010509,0.09055153582787889,-0.018308948326911528,-20.852347355964795,101.0,KMeans,umap
port,0.001349928861611782,0.011173435480921572,0.4387295599985799,0.0010778524640691189,0.11031747128105915,-0.018436168543520592,-20.17204381885451,100.0,Agg,umap
port,0.0024237439636919872,0.015013949043988293,0.3204632536142114,0.0021933889255020557,0.15361982667585086,-0.02477301592258068,-16.9107380376081,94.0,KMeans,PersLandscape_1_new
port,0.0024404029240949385,0.016539108751858426,0.31479697263913153,0.0022120468064089293,0.14046096710014397,-0.027289529440566403,-24.50790389370131,112.0,Agg,PersLandscape_1_new
port,0.0007109184709735634,0.010383093241070732,0.4430579760586007,0.0004373151178051675,0.05717128252215321,-0.017132103847766707,-15.372480712750525,176.0,KMeans,fastica
port,0.001123261767961487,0.012895795385788035,0.33041696457022685,0.0008893953124931681,0.07800666992868589,-0.021278062386550257,-26.786853353003604,341.0,Agg,fastica
port,0.0017014489401949223,0.012904999593213477,0.2903247101934714,0.001481726017261368,0.12275438018561029,-0.021293249328802236,-19.422220798231205,204.0,KMeans,transformer_embds1
port,0.0017730452628440198,0.013467687633419264,0.3520582606381345,0.001531544305904305,0.12294178437142742,-0.022221684595141785,-23.393119772331406,269.0,Agg,transformer_embds1
port,0.0024019195927359894,0.014594353811692369,0.34416758238731276,0.002163202267355456,0.15654107803465778,-0.024080683789292408,-15.995989560012735,99.0,KMeans,topo_features_new
port,0.001941629975842838,0.014204123506178765,0.3122918331432956,0.0017141576079612304,0.1284363840693733,-0.02343680378519496,-21.368820701905435,103.0,Agg,topo_features_new
port,0.0006859587312900055,0.007942112679231065,0.5231192708631623,0.0003841117798144963,0.07159996847471223,-0.013104485920731256,-14.086940406964787,191.0,KMeans,PersImage_1_new
port,0.0009325128611741359,0.007938775719653816,0.6780091590236356,0.0005760246777061001,0.10268701070890507,-0.013098979937428796,-14.019899701133076,125.0,Agg,PersImage_1_new
port,0.0021701784575905423,0.013738547045124718,0.30906286571759667,0.0019438451876855642,0.14942444328453056,-0.022668602624455785,-16.911465772338207,55.0,KMeans,transformer_embds4
port,0.0020341435659970404,0.014401392539370981,0.31649094929891985,0.0018051898562231506,0.1331010072062319,-0.023762297689962117,-21.72507297605113,97.0,Agg,transformer_embds4
port,0.001640894239743858,0.012553766512156974,0.3833936580790289,0.0013883389477440519,0.12136521134386044,-0.020713714745059005,-23.587753194202065,269.0,KMeans,autoencoder_lstm
port,0.0010098636239940452,0.01213782740416903,0.4733523301858561,0.0007255731894958719,0.07353539315059175,-0.0200274152168789,-22.3264352172042,194.0,Agg,autoencoder_lstm
port,0.0006322908860717252,0.00871182507734435,0.6152665459979132,0.00029793670834720115,0.059113580411127936,-0.014374511377618178,-13.746872220299778,178.0,KMeans,PersImage_1
port,0.0008961218731680779,0.007835181782658638,0.6187352158043926,0.0005605440365342973,0.09940013913363985,-0.012928049941386752,-12.37610382250417,105.0,Agg,PersImage_1
port,0.0011339051569021908,0.00785712228350126,0.6134754085099996,0.0008001828471463893,0.12938597700107676,-0.012964251767777078,-11.533422954107175,76.0,KMeans,PersImage_2_new
port,0.001302940543655983,0.00870393832643456,0.6011340893408905,0.0009735719389213538,0.13621843185867477,-0.014361498238617022,-10.393299039504244,60.0,Agg,PersImage_2_new
port,0.00047007840197881495,0.008084100420524072,1.0000000000000013,-4.87890977618477e-19,0.04363808832071588,-0.013338765693864718,-20.904326468546376,236.0,sp500,sp500
port,0.0014356695111006528,0.009728080310019907,0.5372159243095447,0.0011288496171017169,0.13552168107702495,-0.016051332511532845,-14.796704156734053,55.0,sectors,sectors
