,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
ADP,-0.7508628967018811,-0.8118476038679442,-0.8193694529563144,-0.7361521426007788,-0.7361521426007788,-0.969668709259444,-0.7064971622873398,-1.0325107101264022,-0.868384220761996,-0.9504206276904774,-1.0170441462487574,-0.8894198083692827,-0.8470398113480907,0.7872938442756948,-1.2140132047165995,-0.9573591550726298,-1.0790207495404776,-1.1149258782101956,-0.8977098060531071,-0.8886492687919917,-0.6798261337857604,-0.6189816700193135,-0.3235438317276271
ADSK,0.2227457418128449,0.3391025174840292,0.3769105885839276,0.2998996724224327,0.2998996724224327,0.7929837108239701,0.48918420052544875,0.9698465412856323,0.7068498559206199,-0.028410793739528574,-0.08243874889093712,0.26312508626895403,0.1387500509222855,-0.5165697903086612,0.6066579818966329,0.007906204626889882,0.6123853870387925,0.0709535097840655,0.5771480254951159,0.6205227679113716,0.015137732766121603,0.008822902518813614,-0.5791793718312918
AEE,-0.7038859250115289,-0.745863387890316,-0.7982913971383471,-0.8368897801737215,-0.8368897801737215,-0.7909088369763166,-0.3140573273199674,-0.759092465183679,-0.3689810393735686,-0.8351664545931546,-0.8082568737147063,-0.35626491659423287,-0.3340342318815505,1.6217665704096826,-0.7013929750279032,0.2563698893467876,-0.8379920584958798,-0.8826142397960343,-0.9667478420398661,-0.9525578074326436,-0.8131103519916509,-0.7888214822166427,1.8635602336037265
AEP,-0.8808467048852936,-0.8368835141025722,-0.739525540842189,-0.7439823975825832,-0.7439823975825832,-1.1439198061783042,-1.0602867904199,-1.1523830560302466,-0.8902940811888365,-1.2050655910920134,-1.1890919333211396,-0.9703136327420123,-0.938264416327739,-0.047178881858293074,-1.3177827024116269,-0.8783783496081119,-1.2095340378763202,-1.0624736735332503,-0.8937488577525968,-0.8827936984494074,-0.7816132709932311,-0.7352489419402364,0.1593232995792951
AES,-0.523985087860439,-0.43917452526987255,-0.5509682055951497,-0.38656665073666807,-0.38656665073666807,0.09372468373090427,0.2574394122371824,0.028389610965639443,-0.12299279091780474,-0.7240525567420292,-0.7576318487109919,0.04555092528805983,0.08500529108042776,0.5004438446671364,0.15884090902562062,0.28126850738609815,0.26134574930513266,0.6167760619305758,-0.1655099235273767,-0.12175120183817074,-0.5942966062979479,-0.7122311528475818,0.3581509418821454
AFL,-0.5838151797245403,-0.5371965647964196,-0.33833423228166526,-0.08638407821069671,-0.08638407821069671,-0.26315212442553015,-0.42711214380511914,-0.0765658844367199,0.34417014419286784,-0.4526923685849887,-0.41976408964854595,-0.12904023005762422,-0.23975242195977223,-0.5687243356920355,-0.04548343169991921,-0.291656957761878,0.07827536736038468,0.39728910969585296,-0.3219269862821175,-0.41379420817949997,-0.3282618159920567,-0.39949063200238183,-0.43715962732925584
AIG,-0.11312031751203414,-0.23497129051923246,-0.31301085287132724,-0.0339329221442474,-0.0339329221442474,0.5183210662092437,0.042862321169578985,0.588625974365985,0.6930423447353227,0.14673780444701684,-0.05973242768478362,-0.4279877567490547,-0.6837176580083569,-1.0381152441424037,0.814323739444077,-0.24276995576896315,0.7488891258619342,0.5845056803587089,0.27482702261213954,0.2717286033991969,0.015960239198902496,-0.0455045893999088,-1.1188544009390284
AIZ,-0.6183554234501262,-0.5406953851738063,-0.4772682546114073,-0.42777919144691734,-0.42777919144691734,-0.4137530880465563,-0.2971055870451077,-0.41106421066756177,-0.26580005742736285,-0.013833924510795284,0.06710611102496035,-0.6558449384106305,-0.7176872235246254,0.2918256631336395,-0.29156207845266985,0.05555707978397581,-0.21835315654858564,-0.2646644204525867,-0.41870390881479624,-0.3980013908897092,-0.5685654264700445,-0.5894854003928036,0.5853825330854029
AJG,-1.1303845414075984,-1.080252247706861,-0.8909936750302987,-0.8685899309219427,-0.8685899309219427,-1.0886149044143498,-0.877653363791493,-1.1476698716702356,-0.7704350289623806,-1.241860231613703,-1.1902640120357877,-1.1028683791046578,-1.1264628564254182,0.5525983900505107,-0.9732575202656244,-0.6340728822457626,-1.076756171606063,-1.0274873201981758,-1.010733730612171,-1.0345440832129407,-1.2335905504064109,-1.2302416807674939,0.1593232995792951
AKAM,3.629967171961637,3.0594803480550823,2.969797429857204,2.6635876989870413,2.6635876989870413,1.5117951294214234,1.8913940150975892,1.3007926467742887,0.5275976509746177,0.6248989031299939,0.7375404666960389,0.924833864332803,0.9740652635875953,0.9959120258091917,1.6137554464112194,3.868421555400991,1.1577294672043024,1.3591670704392305,1.2912846723211364,1.2681729921519147,1.5401639497590796,1.5277754565476815,3.368969525325307
