,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
GE,-0.0002857183855395072,0.02782018978943433,-0.0010718359017802,0.46778242677824267,-69.98107404754079,1,1.14137408096381,-0.0006654049585894104,-0.014549361727965279,-0.04133460824625634,-0.06277227878663554,0.00036285632531611627,-2.7088314896456946,-0.026753417329267393
GILD,-1.2461734174570283e-05,0.016812761335358188,-0.0001483336227969,0.49456066945606697,-36.20495542904331,6,0.5669606891841669,-0.0002010654222384954,-0.007821996077801789,-0.02528814082863049,-0.037888787962893127,0.00024015598697057193,-22.682954054383245,-0.02150228635026721
GIS,0.00033379396890183114,0.015184443398338436,0.0008804956033157,0.5338912133891214,-39.036544355771674,557,0.36710230572219055,0.00021167465785117492,0.014142523648756912,-0.0227634654901729,-0.03602708656555622,0.00019746427465515735,0.6907474154667953,6.790899075176772e-05
GL,0.0002745361811634027,0.019490050174345987,0.0009770880539452,0.5196652719665272,-47.68801762310459,406,1.0884155033603407,-8.753332735067439e-05,0.007977843090442494,-0.029355922741764687,-0.04663023557910758,0.00035154385335213175,1.3836502503560062,-0.004591536278574083
GLW,0.0001380554128842978,0.021719312286607066,0.0002370736325205,0.500418410041841,-50.87185309921127,542,1.2203998893314132,-0.0002679196827998819,0.000875156339475797,-0.03360447216194567,-0.05019087335432951,0.0003797370136209162,3.416950602281052,-0.013665255798381076
GM,0.00013031397148076883,0.02651926872354408,0.0,0.49372384937238495,-62.54180644676164,619,1.2418589111769216,-0.00028279962734748426,0.00042483646704584286,-0.0397336444257587,-0.05808046246281465,0.000384320871307191,5.396747606110133,-0.009801945507891464
GNRC,0.0014979912270717084,0.02834203702597385,0.0012370869377285,0.5255230125523013,-66.1763531119179,160,1.2873962843113398,0.0010697292825437685,0.04865365205614426,-0.04548862145600075,-0.06337308300912564,0.0003940481011575422,0.5362321542776434,0.05164882191305014
GOOG,0.0006810048200505781,0.01930958457086198,0.0011658222100989,0.5405857740585774,-36.20155282065668,187,1.1251510681883148,0.0003067149528029227,0.029102500830129115,-0.03084537603794779,-0.04538712577491539,0.0003593909305585703,0.5475145627773659,0.02948963915910996
GOOGL,0.0006714797776068046,0.019370128010798734,0.0010724856462072,0.5313807531380753,-36.16460328788196,188,1.1321506399349754,0.0002948614507825462,0.028519799056114025,-0.03076905049032327,-0.04546590931957527,0.0003608861077843803,0.5587686653676636,0.028711167595308097
GPC,0.0005473846783161313,0.01916716077378472,0.00128570124254,0.5380753138075314,-56.322736510237604,482,0.9662810334994706,0.00022594410915345586,0.022347444377591737,-0.02662109249872056,-0.043666860730659916,0.00032545473184130986,0.671155161409064,0.015443777225162048
