,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
MCO,0.001075302452567622,0.014680073339634642,0.00218162744247605,0.5657370517928287,-30.83627251175125,174,1.185063962803828,0.0005952249798266287,0.06513964960503407,-0.02432441033000281,-0.03518435343480874,0.0004580460485976805,0.20041296543355502,0.06907983505728366
MDLZ,0.0005801298710321583,0.01090747200756235,0.0011644268246828,0.5258964143426295,-18.09461397499851,249,0.600898579848005,0.0003367017687172826,0.04227214625578342,-0.01696208457360284,-0.024134788994292056,0.0002909401761424941,0.20507984769700166,0.017409215614583983
MDT,0.0007086997762291955,0.011564381371545963,0.00138339671979385,0.5577689243027888,-17.127350770335635,193,0.7578862036787337,0.00040167491959064975,0.05098864679717407,-0.019882057992679985,-0.026503395219867443,0.0003358479276291727,0.18870461229454236,0.03235438071851718
MET,0.00014109982888810027,0.014781204806838784,0.00089842776387245,0.5398406374501992,-30.18075340723052,5,1.0850827690506006,-0.00029847458214041526,0.0014919088212808189,-0.024813596540378752,-0.03858763560627202,0.00042944550995106307,1.5484357228737926,-0.02464284509607578
MGM,0.00018829501177092183,0.020091102101703073,0.0014424441505278,0.5298804780876494,-42.5716517128119,2,1.3550382306407183,-0.0003606401931224103,0.003446669693517353,-0.03402110025658865,-0.046490755043260154,0.0005066687488646751,2.1437231919459334,-0.013662100261406945
MHK,-0.0011272544210025528,0.02274309765265692,2.2306381964654065e-05,0.5,-60.7023418815702,11,0.9937331660619647,-0.0015298224864538068,-0.054799133305597665,-0.02759685890267851,-0.05315989825856716,0.00040331411711054397,-0.4588569192554245,-0.0739747751323252
MKC,0.0011148042162058866,0.013001983582882346,0.0018772302894480499,0.5697211155378487,-22.22935184663847,100,0.44633807808014025,0.0009339896245564933,0.07658497573164318,-0.01739574936950034,-0.029949130637873998,0.0002467267252112813,0.1516423912217434,0.05313747560128886
MKTX,0.0013888330172686831,0.017239182373094887,0.0029069703812164,0.5776892430278885,-24.003334376538643,183,0.35994442643220176,0.0012430170815955276,0.0736569386378099,-0.026434966788241768,-0.04047148364005662,0.00022201302776456015,0.21398498249795808,0.05486034099707743
MLM,0.0005597345693089033,0.015981688114007294,0.00104021960684945,0.5278884462151394,-36.06018153736154,377,0.7321201788118945,0.00026314770461754945,0.027574493202319486,-0.026143741590348078,-0.03366567046768283,0.0003284773195946997,0.4563133473938525,0.010569140380729272
MMC,0.000709449429677111,0.010918035709566945,0.0017534686903420498,0.5776892430278885,-15.241304224038721,82,0.7991889026246348,0.0003856925687335683,0.05407582703838855,-0.01779411983673119,-0.025301286980415175,0.00034766294396441943,0.16802255209315148,0.03739342296808097
MMM,-0.00045504434225965724,0.01545858121334195,0.00070197920428825,0.5239043824701195,-41.71596386835795,3,1.1418080564449287,-0.0009175985530859357,-0.0371374289389372,-0.02364165662347773,-0.0392098470619416,0.00044567229934473936,-0.5251526300554002,-0.07687626313796513
