,0,1,2
PG,-67.36118,21.187777,44.41953
PGR,-36.666573,-64.28548,37.58156
PH,-107.19021,-64.88171,-67.47563
PHM,-114.62626,9.922178,10.037526
PKG,-40.510086,-127.04783,-49.539288
PKI,102.75457,11.3794565,27.456724
PLD,-4.6410785,95.35516,13.26895
PM,-30.248549,34.744694,43.704456
PNC,-47.559216,-13.911986,-52.553993
PNR,52.18721,63.7321,-104.51528
PNW,-73.92753,25.848665,102.36941
POOL,-85.703865,-83.14769,75.582306
PPG,17.804844,100.35357,-42.763153
PPL,-31.026314,3.1672783,121.945984
PRU,-66.64597,-50.82648,-67.33916
PSA,-35.59825,60.662643,56.458282
PSX,-96.618416,43.65801,-72.90008
PTC,61.14603,-32.765766,5.267576
PVH,-84.19781,-51.581993,-31.904211
PWR,46.797318,-3.4387076,-123.00946
PXD,-45.64768,36.06708,-122.4905
PYPL,79.289665,-84.10922,21.514736
QCOM,95.26952,-30.95174,-108.63319
QRVO,108.09294,-19.482489,-75.20957
RCL,4.699582,-64.07458,-7.7013903
RE,-13.815638,-42.42445,8.838666
REG,-54.61688,80.82714,4.1717334
REGN,43.70533,54.58879,57.962746
RF,-65.771965,-21.088194,-70.94108
RHI,33.45874,-80.89338,-16.259972
RJF,-23.67144,-28.320807,-82.24578
RL,-73.333435,-53.703873,-18.50236
RMD,88.36394,62.873394,83.49543
ROK,10.729009,-73.03629,-43.018032
ROL,-62.14444,-88.703735,46.90604
ROP,40.04955,35.647217,-35.775433
ROST,64.144135,-19.267689,120.93423
RSG,142.34677,566.7183,-15.893441
RTX,-127.41141,-25.306442,-12.558566
SBAC,-23.511972,76.3637,89.43696
SBNY,-38.467937,14.56575,-74.140114
SBUX,-4.9738817,69.22269,130.48784
SCHW,-33.05367,-44.946617,-96.69803
SEDG,52.721874,-64.20319,7.1714797
SEE,-130.70152,-68.44151,16.264025
SHW,32.401062,-0.29083416,-6.1010413
SIVB,-65.94673,-9.511326,-115.17998
SJM,-104.14917,86.53538,72.60022
SLB,-58.426434,36.94397,-95.659096
SNA,-26.666658,-79.10919,-26.031967
SNPS,51.05926,-105.10104,18.55237
SO,-59.281273,46.720776,104.386566
SPG,-51.0082,58.208954,3.9501078
SPGI,51.649788,-47.741673,36.39968
SRE,-81.93181,3.901453,126.73089
STE,63.684578,3.8588793,54.201305
STT,-90.81698,-41.345963,-81.22004
STX,46.61281,-84.303764,-47.19188
STZ,-119.581245,84.59777,4.8137813
SWK,48.511765,-32.645355,-97.6871
SWKS,92.4273,-26.0417,-72.605576
SYF,1.1614931,56.342583,-93.07233
SYK,53.01486,26.395971,48.869404
SYY,-99.74236,-31.673811,44.013317
T,-135.382,39.440662,-0.20206271
TAP,-42.802803,95.088646,-27.11805
TDG,84.095795,72.34914,33.24383
TDY,52.158096,31.714136,-4.61811
TECH,89.49803,-53.75023,98.782394
TEL,42.92748,-65.08247,-63.828384
TER,103.04841,-57.61767,-64.01133
TFX,52.1029,22.44097,103.917404
TGT,-49.36909,20.85457,-7.901076
TJX,-59.290287,4.6814413,-22.261276
TMO,9.316974,-94.48256,51.694935
TMUS,-61.89401,-76.982574,103.27863
TPR,-35.734703,-55.273712,-11.268686
TRMB,84.18735,-8.261826,-22.628122
TROW,-41.858906,132.78375,-10.506075
TRV,-36.16593,-25.54844,22.96209
TSCO,4.949395,10.303798,-5.1012626
TSLA,87.44375,-112.25479,5.874891
TSN,-58.3497,114.979515,70.97771
TT,39.747425,26.039751,-66.071365
TTWO,134.84193,-57.75154,30.717539
TWTR,123.91516,7.3272495,-6.096926
TXN,76.700485,-48.514492,-44.32983
TXT,23.985102,9.062649,-99.39652
TYL,39.77958,-61.937492,67.780334
UA,-27.58394,-83.94386,7.884999
UAA,-41.195023,-90.12619,9.61792
UAL,-89.59986,-102.26948,-11.751191
UDR,-16.083323,70.48125,36.016335
UHS,-1.7055262,-3.7130895,115.14891
ULTA,19.285591,12.539053,19.24994
UNH,37.87988,66.85265,1.6569828
UNP,3.7634404,17.552818,-74.31154
UPS,18.78901,-31.892218,-47.97751
URI,34.831284,-67.472755,-115.07882
USB,-47.236557,-18.19281,-30.605825
V,-116.01582,30.191345,49.050537
VFC,-57.72127,-46.580887,-2.8947492
VLO,-111.67292,41.07103,-81.1492
VMC,42.934246,-128.85165,46.66339
VNO,-32.973797,72.712036,-8.462366
VRSK,30.59757,-39.44637,-129.93497
VRSN,67.19052,-101.01613,86.98097
VRTX,54.23956,53.989063,92.30822
VTR,-39.260128,113.49403,17.992603
VTRS,65.21368,-35.199863,-128.41028
VZ,-119.11974,46.06086,9.172178
WAB,-19.983585,-110.72636,-98.34528
WAT,76.35109,11.782215,17.10097
WBA,17.62213,37.258175,-11.516266
WDC,58.650684,-98.758095,-39.23871
WEC,-71.66691,13.3880625,81.778244
WELL,-45.23163,107.69426,36.882797
WFC,-64.26266,-29.144804,-41.63506
WHR,-41.312046,-125.5617,1.8253001
WM,-29.481123,-24.438868,87.50382
WMB,-47.04085,78.85479,-57.5954
WMT,-57.269405,-12.650617,6.522261
WRB,-22.893612,-11.265826,30.975225
WRK,-55.0353,-124.765144,-38.44331
WST,55.458946,51.83852,24.59817
WY,-4.1797004,78.664825,-7.9868355
WYNN,75.795784,3.4454463,-104.9012
XEL,-13.581687,90.81165,-40.196323
XOM,-84.64928,9.308842,19.454088
XRAY,4.1454115,49.45086,67.13771
XYL,69.4781,38.30053,-86.45749
YUM,3.0908563,-1.6063024,42.41977
ZBH,58.07961,-0.45689607,83.02513
ZBRA,51.894985,10.747292,-24.396015
ZION,-55.20252,-1.3768713,-90.193405
ZTS,74.70332,44.819027,52.335136
